So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH,So Mon Thi
3000218,4.8,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,1.25,4.25,-1.0,-1.0,4
3000219,6.4,5.25,-1.0,-1.0,-1.0,-1.0,-1.0,4.25,7.0,-1.0,-1.0,4
3000220,4.8,3.75,3.0,-1.0,-1.0,-1.0,-1.0,2.5,7.0,7.25,5.58,6
3000221,7.8,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.75,5.25,-1.0,-1.0,4
3000222,7.4,7.25,6.2,7.0,4.25,4.5,5.25,-1.0,-1.0,-1.0,-1.0,6
3000223,6.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.25,5.0,-1.0,-1.0,4
3000224,8.4,7.25,7.0,7.25,7.0,5.25,6.5,-1.0,-1.0,-1.0,-1.0,6
3000225,5.6,7.5,3.8,-1.0,-1.0,-1.0,-1.0,2.25,7.25,8.0,5.83,6
3000226,5.2,6.25,7.6,-1.0,-1.0,-1.0,-1.0,7.0,6.5,8.75,7.42,6
3000227,7.4,6.25,3.6,-1.0,-1.0,-1.0,-1.0,4.25,5.0,7.75,5.67,6
3000228,5.0,5.75,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,5.25,-1.0,-1.0,4
3000229,8.8,5.0,5.0,7.25,4.25,4.75,5.42,-1.0,-1.0,-1.0,-1.0,6
3000230,5.8,6.0,2.2,-1.0,-1.0,-1.0,-1.0,3.75,6.0,8.5,6.08,6
3000231,6.8,-1.0,-1.0,8.0,5.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3
3000232,8.2,6.5,7.0,7.25,6.0,4.0,5.75,-1.0,-1.0,-1.0,-1.0,6
3000233,4.4,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,6.75,-1.0,-1.0,4
3000234,6.0,5.75,2.8,2.75,5.5,3.75,4.0,-1.0,-1.0,-1.0,-1.0,6
3000235,4.0,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,6.5,-1.0,-1.0,4
3000236,7.2,6.75,8.4,-1.0,-1.0,-1.0,-1.0,8.0,7.25,9.0,8.08,6
3000237,3.6,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.75,4.75,-1.0,-1.0,4
3000238,5.2,6.25,3.6,-1.0,-1.0,-1.0,-1.0,4.25,5.0,7.25,5.5,6
3000239,4.0,4.25,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,-1.0,-1.0,3
3000240,7.0,5.25,5.0,6.0,6.5,4.25,5.58,-1.0,-1.0,-1.0,-1.0,6
3000241,7.6,6.75,4.8,-1.0,-1.0,-1.0,-1.0,6.25,6.5,8.75,7.17,6
3000242,7.6,7.0,4.2,5.75,5.75,5.75,5.75,-1.0,-1.0,-1.0,-1.0,6
3000243,6.4,4.75,5.2,-1.0,-1.0,-1.0,-1.0,4.0,4.75,8.25,5.67,6
3000244,4.0,4.25,-1.0,-1.0,-1.0,-1.0,-1.0,3.75,5.25,-1.0,-1.0,4
3000245,6.6,5.75,3.6,-1.0,-1.0,-1.0,-1.0,4.25,7.0,8.75,6.67,6
